ModelID,CellLineName,HBVStatus,Evidence,EvidenceStrength,SourceURL
ACH-000217,JHH-6,negative,"Derived from an HBsAg-seronegative patient; HBV DNA integration was not detected, and a later viral PCR screen was negative for HBV.",confirmed_negative,https://pmc.ncbi.nlm.nih.gov/articles/PMC5990783/
ACH-000221,SNU-398,positive,"HBV DNA was detected in the source HCC; recent profiling also detected HBV DNA markers consistent with integrated viral sequence, despite no HBV-specific RNA reads.",confirmed_hbv_dna,https://journals.asm.org/doi/full/10.1128/jvi.01144-25
ACH-000316,SNU-886,positive,"HBV-related HCC model with multiple HBV-human integrant-derived RNA species, supporting transcriptionally active integrated HBV DNA.",confirmed_integration,https://journals.asm.org/doi/full/10.1128/jvi.01144-25
ACH-000361,SK-HEP-1,unknown,"No qualifying HBV-positive or HBV-negative evidence was identified in the selected source set; excluded from both cohorts.",unclassified,https://pmc.ncbi.nlm.nih.gov/articles/PMC4460709/
ACH-000393,HLF,unknown,"No qualifying HBV-positive or HBV-negative evidence was identified in the selected source set; excluded from both cohorts.",unclassified,https://pmc.ncbi.nlm.nih.gov/articles/PMC4460709/
ACH-000420,SNU-449,positive,"HBV DNA was detected in the source HCC; HBV-human integrant-derived RNAs and an HBV integration in TERT were subsequently identified.",confirmed_integration,https://journals.asm.org/doi/full/10.1128/jvi.01144-25
ACH-000422,SNU-475,positive,"HBV-related HCC model with HBV DNA markers consistent with integrated viral sequence and no evidence of ongoing viral replication.",confirmed_hbv_dna,https://journals.asm.org/doi/full/10.1128/jvi.01144-25
ACH-000471,Li-7,unknown,"No qualifying HBV-positive or HBV-negative evidence was identified in the selected source set; excluded from both cohorts.",unclassified,https://pmc.ncbi.nlm.nih.gov/articles/PMC4460709/
ACH-000475,huH-1,positive,"HBV-associated HCC line with multiple integrated HBV DNA loci and HBsAg production.",confirmed_integration,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428387/
ACH-000476,JHH-4,negative,"Derived from an HBsAg-seronegative patient; HBV DNA integration was not detected, and a later viral PCR screen was negative for HBV.",confirmed_negative,https://pmc.ncbi.nlm.nih.gov/articles/PMC5990783/
ACH-000478,SNU-387,positive,"HBV-related HCC model with multiple HBV-human integrant-derived RNA species, supporting transcriptionally active integrated HBV DNA.",confirmed_integration,https://journals.asm.org/doi/full/10.1128/jvi.01144-25
ACH-000480,HuH-7,unknown,"The parental DepMap line is not an HBV-associated tumor model; engineered or transfected Huh7/HBV derivatives are distinct and were not used.",unclassified,https://journals.asm.org/doi/full/10.1128/jvi.01144-25
ACH-000483,SNU-182,positive,"HBV-related HCC model with HBV-human integrant-derived RNA, supporting transcriptionally active integrated HBV DNA.",confirmed_integration,https://journals.asm.org/doi/full/10.1128/jvi.01144-25
ACH-000493,SNU-423,positive,"HBV DNA was detected in the source HCC; recent profiling also detected HBV DNA markers consistent with integrated viral sequence, despite no HBV-specific RNA reads.",confirmed_hbv_dna,https://journals.asm.org/doi/full/10.1128/jvi.01144-25
ACH-000537,SNU-761,positive,"HBV-related HCC model with multiple HBV-human integrant-derived RNAs, including an integration upstream of TERT.",confirmed_integration,https://journals.asm.org/doi/full/10.1128/jvi.01144-25
ACH-000577,JHH-2,negative,"Derived from an HBsAg-seronegative patient; HBV DNA integration was not detected, and a later viral PCR screen was negative for HBV.",confirmed_negative,https://pmc.ncbi.nlm.nih.gov/articles/PMC5990783/
ACH-000620,JHH-1,negative,"Derived from an HBsAg-seronegative patient; HBV DNA integration was not detected, and a later viral PCR screen was negative for HBV.",confirmed_negative,https://pmc.ncbi.nlm.nih.gov/articles/PMC5990783/
ACH-000625,Hep 3B2.1-7,positive,"HBV-associated HCC line with multiple integrated HBV DNA loci and HBsAg production.",confirmed_integration,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428387/
ACH-000686,SNU-878,unknown,"No qualifying HBV-positive or HBV-negative evidence was identified in the selected source set; excluded from both cohorts.",unclassified,https://pmc.ncbi.nlm.nih.gov/articles/PMC4460709/
ACH-000734,JHH-5,negative,"Derived from an HBsAg-seronegative patient; HBV DNA integration was not detected, and a later viral PCR screen was negative for HBV.",confirmed_negative,https://pmc.ncbi.nlm.nih.gov/articles/PMC5990783/
ACH-000848,JHH-7,positive,"Derived from an HBV-carrier patient; HBV DNA integration was confirmed at two chromosomal sites.",confirmed_integration,https://pubmed.ncbi.nlm.nih.gov/1701409/
ACH-001089,HLE,unknown,"No qualifying HBV-positive or HBV-negative evidence was identified in the selected source set; excluded from both cohorts.",unclassified,https://pmc.ncbi.nlm.nih.gov/articles/PMC4460709/
ACH-001318,PLC/PRF/5,positive,"HBV-associated HCC line with multiple integrated HBV DNA loci and HBsAg production.",confirmed_integration,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428387/
ACH-002523,SNU-739,positive,"HBV-related HCC model with multiple HBV-human integrant-derived RNAs, including integrants in FLT3.",confirmed_integration,https://journals.asm.org/doi/full/10.1128/jvi.01144-25
